ticker,period_end,revenue,type,industry
PFGC,2026-09-30,16758741086.242636,forecast_bear,Consumer
PFGC,2026-12-31,16864748543.59116,forecast_bear,Consumer
PFGC,2026-03-31,16756762969.089664,forecast_bull,Consumer
PFGC,2026-06-30,17074747803.380705,forecast_bull,Consumer
PFGC,2026-09-30,17398766879.191162,forecast_bull,Consumer
PFGC,2026-12-31,17728934705.34909,forecast_bull,Consumer
PG,2026-03-31,22290256063.28601,forecast,Consumer
PG,2026-06-30,22372816794.25697,forecast,Consumer
PG,2026-09-30,22455683321.369484,forecast,Consumer
PG,2026-12-31,22538856777.259846,forecast,Consumer
PG,2026-03-31,22249128031.643005,forecast_bear,Consumer
PG,2026-06-30,22290332230.207245,forecast_bear,Consumer
PG,2026-09-30,22331612736.7498,forecast_bear,Consumer
PG,2026-12-31,22372969692.588978,forecast_bear,Consumer
PG,2026-03-31,22331384094.929016,forecast_bull,Consumer
PG,2026-06-30,22455453692.149162,forecast_bull,Consumer
PG,2026-09-30,22580212600.2015,forecast_bull,Consumer
PG,2026-12-31,22705664648.786724,forecast_bull,Consumer
SBUX,2026-03-31,10048814373.195305,forecast,Consumer
SBUX,2026-06-30,10184332009.453918,forecast,Consumer
SBUX,2026-09-30,10321677227.460495,forecast,Consumer
SBUX,2026-12-31,10460874673.859835,forecast,Consumer
SBUX,2026-03-31,9981957186.597652,forecast_bear,Consumer
SBUX,2026-06-30,10049265188.961132,forecast_bear,Consumer
SBUX,2026-09-30,10117027046.926022,forecast_bear,Consumer
SBUX,2026-12-31,10185245820.82541,forecast_bear,Consumer
SBUX,2026-03-31,10115671559.792955,forecast_bull,Consumer
SBUX,2026-06-30,10320300461.478354,forecast_bull,Consumer
SBUX,2026-09-30,10529068780.616907,forecast_bull,Consumer
SBUX,2026-12-31,10742060253.06758,forecast_bull,Consumer
SYY,2026-03-31,20917623058.80916,forecast,Consumer
SYY,2026-06-30,21074412601.407597,forecast,Consumer
SYY,2026-09-30,21232377371.25816,forecast,Consumer
SYY,2026-12-31,21391526177.360916,forecast,Consumer
SYY,2026-03-31,20839811529.40458,forecast_bear,Consumer
SYY,2026-06-30,20917914679.75648,forecast_bear,Consumer
SYY,2026-09-30,20996310543.988552,forecast_bear,Consumer
